PercPrey-Ini,PercPred-Ini,PercPrey-Final,PercPred-Final
0.01,0.32,0.03350000083446503,0.010075000114738941
0.01,0.33,0.07249999791383743,0.027149999514222145
0.01,0.34,0.16642500460147858,0.02160000056028366
0.01,0.35000000000000003,0.025225000455975533,0.007400000002235174
0.01,0.36,0.019874999299645424,0.0071000000461936
0.01,0.37,0.07034999877214432,0.009949999861419201
0.01,0.38,0.004449999891221523,0.003449999960139394
0.01,0.39,0.061400000005960464,0.029600000008940697
0.01,0.4,0.0066999997943639755,0.005100000184029341
0.01,0.41000000000000003,0.00430000014603138,0.002749999985098839
0.01,0.42,0.004399999976158142,0.00419999985024333
0.01,0.43,0.012125000357627869,0.008449999615550041
0.01,0.44,0.013199999928474426,0.01075000036507845
0.01,0.45,0.0022499999031424522,0.0015999999595806003
0.01,0.46,0.07090000063180923,0.010824999772012234
0.01,0.47000000000000003,0.014600000344216824,0.007350000087171793
0.01,0.48,0.31222501397132874,0.021800000220537186
0.01,0.49,0.012600000016391277,0.00800000037997961
0.01,0.5,0.1340000033378601,0.025550000369548798
0.01,0.51,0.0037499999161809683,0.0017500000540167093
0.01,0.52,0.05282500013709068,0.015399999916553497
0.01,0.53,0.004399999976158142,0.0035000001080334187
0.01,0.54,0.019075000658631325,0.012900000438094139
0.01,0.55,0.02122499980032444,0.007149999961256981
0.01,0.56,0.1589999943971634,0.027400000020861626
0.01,0.5700000000000001,0.01334999967366457,0.007799999788403511
0.01,0.58,0.0010999999940395355,0.0019000000320374966
0.01,0.59,0.03655000030994415,0.014074999839067459
0.01,0.6,0.028699999675154686,0.013024999760091305
0.01,0.61,0.03727500140666962,0.016850000247359276
0.01,0.62,0.0284000001847744,0.013925000093877316
0.01,0.63,0.1259250044822693,0.020075000822544098
0.01,0.64,0.082225002348423,0.027274999767541885
0.01,0.65,0.06292500346899033,0.014600000344216824
0.01,0.66,0.011474999599158764,0.00559999980032444
0.01,0.67,0.08757500350475311,0.023900000378489494
0.01,0.68,0.017224999144673347,0.009700000286102295
0.01,0.6900000000000001,0.0077749998308718204,0.005475000012665987
0.01,0.7000000000000001,0.0064500002190470695,0.004525000229477882
0.01,0.71,0.030574999749660492,0.010950000025331974
0.01,0.72,0.010075000114738941,0.006049999967217445
0.01,0.73,0.0758500024676323,0.02085000090301037
0.01,0.74,0.09510000050067902,0.02305000089108944
0.01,0.75,0.030400000512599945,0.010200000368058681
0.01,0.76,0.07975000143051147,0.02422500029206276
0.01,0.77,0.10667499899864197,0.020999999716877937
0.01,0.78,0.08027499914169312,0.02472499944269657
0.01,0.79,0.05485000088810921,0.024325000122189522
0.01,0.8,0.08844999969005585,0.020549999549984932
0.01,0.81,0.026750000193715096,0.01075000036507845
0.01,0.8200000000000001,0.12657499313354492,0.018300000578165054
0.01,0.8300000000000001,0.08479999750852585,0.020549999549984932
0.01,0.84,0.16317500174045563,0.025174999609589577
0.01,0.85,0.0064500002190470695,0.0056500001810491085
0.01,0.86,0.025824999436736107,0.013299999758601189
0.01,0.87,0.04495000094175339,0.016824999824166298
0.01,0.88,0.08412499725818634,0.02239999920129776
0.01,0.89,0.21574999392032623,0.033900000154972076
0.01,0.9,0.42980000376701355,0.021449999883770943
0.01,0.91,0.338824987411499,0.024150000885128975
0.01,0.92,0.1673000007867813,0.025350000709295273
0.01,0.93,0.5666249990463257,0.026399999856948853
0.01,0.9400000000000001,0.43799999356269836,0.019999999552965164
0.01,0.9500000000000001,0.5405499935150146,0.023749999701976776
0.01,0.96,0.6219249963760376,0.04235000163316727
0.01,0.97,0.8050500154495239,0.028750000521540642
0.01,0.98,0.5934000015258789,0.027699999511241913
0.01,0.99,0.7245749831199646,0.0
0.02,0.0,1.0,0.0
0.02,0.01,0.36032500863075256,0.022849999368190765
0.02,0.02,0.4615750014781952,0.020549999549984932
0.02,0.03,0.1885250061750412,0.02302500046789646
0.02,0.04,0.0027000000700354576,0.0026499999221414328
0.02,0.05,0.03827499970793724,0.010850000195205212
0.02,0.06,0.10029999911785126,0.019224999472498894
0.02,0.07,0.002374999923631549,0.0017999999690800905
0.02,0.08,0.00215000007301569,0.002950000111013651
0.02,0.09,0.0035749999806284904,0.0026499999221414328
0.02,0.1,0.0021250001154839993,0.0015750000020489097
0.02,0.11,0.001550000044517219,0.0019000000320374966
0.02,0.12,0.022350000217556953,0.0076500000432133675
0.02,0.13,0.0013749999925494194,0.0019499999471008778
0.02,0.14,0.016699999570846558,0.007724999915808439
0.02,0.15,0.0016250000335276127,0.0011500000255182385
0.02,0.16,0.003949999809265137,0.00494999997317791
0.02,0.17,0.0021250001154839993,0.002850000048056245
0.02,0.18,0.0011500000255182385,0.0017000000225380063
0.02,0.19,0.00139999995008111,0.0020000000949949026
0.02,0.2,0.00279999990016222,0.003949999809265137
0.02,0.21,0.003100000089034438,0.002749999985098839
0.02,0.22,0.0023499999660998583,0.00215000007301569
0.02,0.23,0.0013500000350177288,0.002050000010058284
0.02,0.24,0.00317499996162951,0.0044999998062849045
0.02,0.25,0.0016749999485909939,0.0022750000935047865
0.02,0.26,0.0038250000216066837,0.004149999935179949
0.02,0.27,0.006850000005215406,0.005350000225007534
0.02,0.28,0.0030499999411404133,0.0038999998942017555
0.02,0.29,0.0024999999441206455,0.003700000001117587
0.02,0.3,0.005874999798834324,0.0048500001430511475
0.02,0.31,0.004474999848753214,0.0052999998442828655
0.02,0.32,0.0018500000005587935,0.002300000051036477
0.02,0.33,0.00712500000372529,0.005499999970197678
0.02,0.34,0.006974999792873859,0.006800000090152025
0.02,0.35000000000000003,0.003100000089034438,0.0032500000670552254
0.02,0.36,0.0037750001065433025,0.004350000061094761
0.02,0.37,0.005200000014156103,0.005150000099092722
0.02,0.38,0.002725000027567148,0.003000000026077032
0.02,0.39,0.004875000100582838,0.004550000187009573
0.02,0.4,0.002950000111013651,0.004149999935179949
0.02,0.41000000000000003,0.004900000058114529,0.004449999891221523
0.02,0.42,0.011800000444054604,0.008349999785423279
0.02,0.43,0.011599999852478504,0.008050000295042992
0.02,0.44,0.007149999961256981,0.006300000008195639
0.02,0.45,0.0085249999538064,0.007449999917298555
0.02,0.46,0.005925000179558992,0.005400000140070915
0.02,0.47000000000000003,0.004174999892711639,0.004350000061094761
0.02,0.48,0.0071000000461936,0.007600000128149986
0.02,0.49,0.004650000017136335,0.004650000017136335
0.02,0.5,0.00430000014603138,0.005350000225007534
0.02,0.51,0.00570000009611249,0.005799999926239252
0.02,0.52,0.008449999615550041,0.007400000002235174
0.02,0.53,0.00712500000372529,0.008550000376999378
0.02,0.54,0.004525000229477882,0.004350000061094761
0.02,0.55,0.005249999929219484,0.006424999795854092
0.02,0.56,0.0012750000460073352,0.002199999988079071
0.02,0.5700000000000001,0.011649999767541885,0.009850000031292439
0.02,0.58,0.005125000141561031,0.004800000227987766
0.02,0.59,0.009575000032782555,0.009100000374019146
0.02,0.6,0.011549999937415123,0.013275000266730785
0.02,0.61,0.015924999490380287,0.01484999991953373
0.02,0.62,0.029349999502301216,0.01549999974668026
0.02,0.63,0.021950000897049904,0.01217500027269125
0.02,0.64,0.01217500027269125,0.009150000289082527
0.02,0.65,0.013199999928474426,0.008799999952316284
0.02,0.66,0.005849999841302633,0.006550000049173832
0.02,0.67,0.016049999743700027,0.010900000110268593
0.02,0.68,0.013225000351667404,0.006500000134110451
0.02,0.6900000000000001,0.006550000049173832,0.006800000090152025
0.02,0.7000000000000001,0.008849999867379665,0.007249999791383743
0.02,0.71,0.011149999685585499,0.007325000129640102
0.02,0.72,0.008074999786913395,0.008050000295042992
0.02,0.73,0.015025000087916851,0.010099999606609344
0.02,0.74,0.007675000000745058,0.0066999997943639755
0.02,0.75,0.009274999611079693,0.006200000178068876
0.02,0.76,0.009724999777972698,0.005900000222027302
0.02,0.77,0.011900000274181366,0.009549999609589577
0.02,0.78,0.0196749996393919,0.008750000037252903
0.02,0.79,0.022549999877810478,0.012900000438094139
0.02,0.8,0.01899999938905239,0.006550000049173832
0.02,0.81,0.006800000090152025,0.006550000049173832
0.02,0.8200000000000001,0.02199999988079071,0.009600000455975533
0.02,0.8300000000000001,0.00430000014603138,0.004749999847263098
0.02,0.84,0.024125000461935997,0.014499999582767487
0.02,0.85,0.016075000166893005,0.010950000025331974
0.02,0.86,0.006025000009685755,0.004749999847263098
0.02,0.87,0.01769999973475933,0.01054999977350235
0.02,0.88,0.03772500157356262,0.01080000028014183
0.02,0.89,0.17125000059604645,0.008550000376999378
0.02,0.9,0.05855000019073486,0.019449999555945396
